NMUNI;DIST;SECC;MESA;NLOCAL;NLOCALB;INFADICIONAL;DIRMESA1;DIRMESA2;DIRMESA3;DIRMESA4;CARGOFINAL;NOLISTA;GRES;IDENT;NOMBRE;APELLIDO1;APELLIDO2;DOMI1;DOMI2;DOMI3;DOMI4;DOMI5;CPOSTAL;Urtea;Hilabetea;Eguna;Jaiotze-Data;Jaiotze-Data
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;P;312;4;00000000A;IZENA0001;ABIZENA10001;ABIZENA20001;HELBIDEA00001;PASAI DONIBANE;PASAIA;;;20110;1971;12;28;1971/12/28;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS1;35;4;00000001A;IZENA0002;ABIZENA10002;ABIZENA20002;HELBIDEA00002;PASAI DONIBANE;PASAIA;;;20110;1987;4;22;1987/4/22;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS2;386;4;00000002A;IZENA0003;ABIZENA10003;ABIZENA20003;HELBIDEA00003;*DISEMINADO*;PASAI DONIBANE;GIPUZKOA;;20110;2000;4;10;2000/4/10;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS3;479;4;00000003A;IZENA0004;ABIZENA10004;ABIZENA20004;HELBIDEA00004;PASAI DONIBANE;PASAIA;;;20110;1970;2;20;1970/2/20;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS4;306;4;00000004A;IZENA0005;ABIZENA10005;ABIZENA20005;HELBIDEA00005;PASAI DONIBANE;PASAIA;;;20110;2000;12;20;2000/12/20;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS5;440;4;00000005A;IZENA0006;ABIZENA10006;ABIZENA20006;HELBIDEA00006;PASAI DONIBANE;PASAIA;;;20110;1977;6;29;1977/6/29;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS6;354;4;00000006A;IZENA0007;ABIZENA10007;ABIZENA20007;HELBIDEA00007;PASAI DONIBANE;PASAIA;;;20110;1993;1;21;1993/1/21;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS7;612;4;00000007A;IZENA0008;ABIZENA10008;ABIZENA20008;HELBIDEA00008;PASAI DONIBANE;PASAIA;;;20110;1983;11;22;1983/11/22;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS8;182;4;00000008A;IZENA0009;ABIZENA10009;ABIZENA20009;HELBIDEA00009;PASAI DONIBANE;PASAIA;;;20110;1960;11;8;1960/11/8;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS9;555;4;00000009A;IZENA0010;ABIZENA10010;ABIZENA20010;HELBIDEA00010;PASAI DONIBANE;PASAIA;;;20110;1959;12;5;1959/12/5;2021-05-05
